Name of Applicant,Grant Category,Grant Amount,Grant Fiscal Year,Community Focus Combined,Community Focus: African American,Community Focus: Asian American,Community Focus: Disabled,Community Focus: Immigrant,Community Focus: L/G/B/T/Q,Community Focus: Latino American,Community Focus: Multiple People of Color,Community Focus: Native,Community Focus: Native American,Community Focus: Pacific Islander,Community Focus: Transgender,Community Focus: Women,Community Focus: No specified focus
San Francisco Black Film Festival,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
Stepology,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
ZACCHO Dance Theatre,Arts and Community Innovative Partnership (ACIP) ,10000.00,01/01/2008 12:00:00 AM,African American,true,false,false,false,false,false,false,false,false,false,false,,false
CubaCaribe,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,"African American
Latino",true,false,false,false,false,false,false,false,false,false,false,,false
devorah major,Individual Artist Commission (IAC),7500.00,01/01/2008 12:00:00 AM,"African American
Women",true,false,false,false,false,false,false,false,false,false,true,,false
Global Women Intact,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,"African American
Women",true,false,false,false,false,false,false,false,false,false,true,,false
Sia Amma,Individual Artist Commission (IAC),7500.00,01/01/2008 12:00:00 AM,"African American
Women",true,false,false,false,false,false,false,false,false,false,true,,false
3rd i South Asian Independent Film Festival,Arts and Community Innovative Partnership (ACIP) ,10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
3rd i South Asian Independent Film Festival,Cultural Equity Initiative-Level 1 (CEI_L1),25000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Arab Cultural and Community Center,Arts and Community Innovative Partnership (ACIP) ,10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Arab Cultural and Community Center,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Arab Film Festival,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Improv Arts,Arts and Community Innovative Partnership (ACIP) ,10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Improv Arts,Cultural Equity Initiative-Level 1 (CEI_L1),15000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Pacific Islander Cultural Center,Cultural Center,96259.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Asian Pacific Islander Cultural Center,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Bindlestiff Studio,Arts and Community Innovative Partnership (ACIP) ,31500.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Chinese Culture Foundation of San Francisco,Cultural Equity Initiative-Level 1 (CEI_L1),25000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Chinese Historical Society of America,Cultural Equity Initiative-Level 1 (CEI_L1),25000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
First Voice,Cultural Equity Initiative-Level 2 (CEI_L2),100000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Florante Aguilar,Individual Artist Commission (IAC),10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Gang Situ,Individual Artist Commission (IAC),10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Genryu Arts,Cultural Equity Initiative-Level 1 (CEI_L1),25000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Kulintang Arts Inc.,Creative Space (CRSP),20000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Manilatown Heritage Foundation,Organization Project Grant (OPG),12000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Mark Izu,Individual Artist Commission (IAC),10000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
"Melody of China, Inc.",Cultural Equity Initiative-Level 1 (CEI_L1),25000.00,01/01/2008 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,,false
Chinatown Community Development Center,Arts and Community Innovative Partnership (ACIP) ,10000.00,01/01/2008 12:00:00 AM,"Asian American
Immigrant",false,true,false,true,false,false,false,false,false,false,false,,false
